l2_province,l3_city,l3_city_id,longitude,latitude,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Barat,3ae4a787-df26-4359-bb59-4e2d3c810166,105.53741,-1.95839,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Selatan,3fede550-2b3e-4efe-bb59-e04274813737,106.01257,-2.66803,,,,,,,,,
Kepulauan Bangka Belitung,Bangka Tengah,f6b2103d-d366-4afb-8651-fd83a5dabde2,106.1142,-2.33989,,,,,,,,,
Kepulauan Bangka Belitung,Belitung,91cda565-8920-4415-af03-a0016779b97c,107.68333,-2.86667,,,,,,,,,
Kepulauan Bangka Belitung,Belitung Timur,1f14d0ac-8f13-4125-81bd-7e6abe17513e,108.15216,-2.9627,,,,,,,,,
Kepulauan Bangka Belitung,Pangkal Pinang,e180d7ae-806a-4bc3-ac2d-9976ba48adce,106.11667,-2.11667,,,,,,,,,
Kepulauan Riau,Batam,654dbd43-0da6-44a1-8fa6-3f2879b8fbdf,104.02851,1.05211,,,,,,,,,
Kepulauan Riau,Bintan,a0064fb5-0168-45f2-babc-03ab108c4bca,104.61944,0.95,,,,,,,,,
Kepulauan Riau,Karimun,87fcf1eb-7006-4362-90d4-57bce3732127,103.41911,0.80764,,,,,,,,,
Kepulauan Riau,Kepulauan Anambas,61301f12-3c77-45f0-958c-2cca0e009dcf,105.76071,2.93966,,,,,,,,,
Kepulauan Riau,Lingga,494d3a47-578f-4b70-8467-e7bb443e0a19,104.41448,-0.5091,,,,,,,,,
